zip,irs_returns,irs_pop,irs_income,statefips,state,irs_mean_hh_income,irs_ui_pct,irs_pct_with_Kinc,irs_avg_K_income,irs_K_inc_reliance,irs_pct_with_LLCinc,irs_LLC_inc_reliance,irs_avg_mort,irs_mort_inc_ratio,irs_SSI_reliance,irs_EITC_pct,irs_avg_AGI,irs_mean_ind_income
01069,4110,7170,226285,25,"MA",55057.18,.0900243,.1046229,761.5572,.0138321,.0291971,.0166471,1771.533,.0321762,.0262899,.1411192,54466.42,31559.97
01070,300,540,15195,25,"MA",50650,.1,.1666667,460,.0090819,0,0,1296.667,.0256005,.0521882,.1333333,49393.33,28138.89
01071,750,1440,43636,25,"MA",58181.33,.08,.1066667,512,.0088001,.04,.0240169,1981.333,.0340545,.0250252,.1333333,57738.67,30302.78
01072,750,1410,49682,25,"MA",66242.66,.0666667,.24,3320,.0501188,.0533333,.0049917,2169.333,.0327483,.0223018,.1466667,65040,35235.46
01073,3200,5930,244505,25,"MA",76407.81,.065625,.234375,2533.75,.0331609,.075,.0527392,2742.813,.035897,.0287724,.075,75225,41231.87
01075,8500,14660,580314,25,"MA",68272.23,.0635294,.2141176,2139.529,.0313382,.0505882,.0360977,2053.765,.030082,.0382224,.0894118,67272.35,39584.86
01077,5020,8950,374242,25,"MA",74550.2,.0816733,.1812749,2374.701,.0318537,.0517928,.0432234,2437.45,.0326954,.0282892,.0856574,73319.32,41814.75
01080,1190,2050,49304,25,"MA",41431.93,.1092437,.0756303,185.7143,.0044824,0,0,940.3361,.0226959,.0288415,.1932773,41086.55,24050.73
01081,860,1490,44264,25,"MA",51469.77,.1046512,.0930233,211.6279,.0041117,0,0,1798.837,.0349494,.0282848,.1162791,51033.72,29707.38
01082,4890,8830,250283,25,"MA",51182.62,.0879346,.1104295,457.0552,.0089299,.0245399,.0171286,1589.979,.0310648,.0303137,.1595092,50653.99,28344.62
01085,19020,34870,1153416,25,"MA",60642.27,.0830704,.1430074,1550.315,.0255649,.0394322,.0395972,1866.719,.0307825,.0277393,.1398528,59833.18,33077.6
01088,320,500,19944,25,"MA",62325,.0625,.15625,2412.5,.0387084,0,0,1268.75,.020357,.0356498,.09375,61368.75,39888
01089,13990,25370,806374,25,"MA",57639.31,.0757684,.1358113,1860.901,.0322853,.0400286,.0442661,1481.63,.0257052,.0283479,.1744103,56933.38,31784.55
01095,7220,13840,674633,25,"MA",93439.48,.0567867,.2770083,3543.075,.0379184,.0817175,.0738016,3024.1,.0323643,.0315223,.0692521,91823.55,48745.16
01096,1360,2370,95528,25,"MA",70241.18,.0588235,.2205882,2432.353,.0346286,.0735294,.0876078,2033.823,.0289549,.0331002,.0882353,68711.03,40307.17
01098,600,1080,45665,25,"MA",76108.34,.1,.2333333,7611.667,.1000109,.05,.0102704,1963.333,.0257966,.0360013,.1166667,74810,42282.41
01103,1010,1620,36926,25,"MA",36560.39,.0792079,.049505,368.3168,.0100742,0,0,366.3366,.01002,.0145155,.3465346,36127.72,22793.83
01104,10040,19130,335625,25,"MA",33428.79,.0926295,.0378486,214.1434,.006406,.0069721,.0022138,797.012,.0238421,.019349,.3476095,33208.66,17544.43
01105,3950,7880,86915,25,"MA",22003.8,.0987342,.0151899,80.75949,.0036703,0,0,128.8608,.0058563,.0088362,.5822785,21857.47,11029.82
