zip,pct_dis,pct_dis_pop18_64,pct_dis_pop65over,age_adj_dis18_64,age2_adj_dis18_64
57070,15.6,12.9,33.2,.3424801,-.6630751
57071,9.7,8.4,36.8,-2.817594,-3.684779
57072,9.7,7.1,35.8,-5.454434,-2.484223
57073,15.1,13.6,33.6,-.5533098,-2.838397
57075,10.8,10.7,14.2,-3.040888,-1.670268
57076,11.7,5.1,55.3,-5.841943,-11.47594
57077,6.8,7.4,29.3,-4.700099,-5.237166
57078,13.6,12,35.7,.9531021,.2139187
57101,13.7,12,47.3,1.385119,2.047235
57103,10.3,10.4,26.1,-.2843576,-.8622156
57104,13.7,12,47.3,1.385119,2.047235
57105,9.7,8,28.5,-3.959512,-4.003508
57106,9.9,9.1,36.3,-1.591411,-1.916521
57107,6.5,5.7,25.7,-5.702486,-5.20208
57108,7.2,3.6,33.6,-6.15402,-6.266674
57109,9.7,8,28.5,-3.959512,-4.003508
57110,8.8,8,33.7,-1.527801,-1.788426
57118,13.7,12,47.3,1.385119,2.047235
57186,13.7,12,47.3,1.385119,2.047235
57193,13.7,12,47.3,1.385119,2.047235
57197,3.3,3.3,,-4.904959,-5.439746
57198,5.7,4.2,24.3,-5.583601,-3.289956
57201,14.1,12,38.7,.8569994,-.3809795
57212,13.3,4.6,45,-8.351225,-10.082
57213,12.7,13.8,28,-1.31122,-2.030252
57214,28,10.5,52.2,-1.527141,-11.85799
57216,9.2,7.8,26.3,-5.881394,-7.549673
57217,11,12.4,41.4,-3.003515,1.629526
57218,28.1,15.1,53.4,3.484784,-1.258236
57219,14.9,12.3,33,-.8156673,-1.036564
57220,8.1,7.5,36.5,-3.126315,-4.260395
57221,12.2,2.4,50,-9.437584,-16.42993
57223,7.3,5.7,20.8,-5.197624,-4.446281
57224,6.5,5.6,11.8,-8.199226,10.17764
57225,16.9,7.9,52,-3.685145,-3.924472
57226,13.7,11.8,35.1,1.101591,-.8125994
57227,6.5,6.4,11.5,-4.637473,-3.928276
57231,11.6,11.5,23.6,-1.876378,-5.013767
57232,16.5,11.6,26,-2.55289,-2.362706
57233,8.7,1.5,11.1,-16.73671,-16.37569
57234,12.9,12.6,33.8,1.597403,-3.501231
57235,8.3,6.7,31.9,-3.545007,-.9693573
57236,23.5,20.5,63.6,6.930567,8.601534
57237,16.4,12.1,45.2,-.4620337,-.1292709
57238,16.2,12.1,60.5,2.569642,-.7600158
57239,25.4,10.6,45.9,-10.32293,-20.01687
57241,7.3,11.4,24.2,.6638817,-.9427477
57242,15.2,13.8,20.4,3.451858,-5.243217
57243,12.1,11.4,33,-1.745658,-3.580856
57245,12.6,8.3,60,-5.141999,-6.168678
57246,2.6,2.3,9.5,-12.86387,-16.90041
57247,7.8,9.2,8.5,-8.514312,-6.013994
57248,20.2,16.4,49.4,2.213765,-1.219753
57249,10.1,6.5,37.9,-6.883279,-9.610996
57251,22.3,36.4,6.7,24.3243,12.89711
57252,14.6,8.3,31.3,-4.566142,-8.282937
57255,13.2,8.7,27.6,-1.786681,-1.504372
57256,12.2,0,37.5,-12.50313,-8.37
57257,15.7,18.4,46.2,9.877161,7.461008
57258,27.5,20.3,48.7,7.021844,9.284083
57259,13.7,10.8,29.2,-.8272545,-5.176701
57260,12.4,8.9,36.9,-2.896096,-9.128181
57261,23,11,42.2,-7.379259,-13.09269
57262,12.6,12.2,40.2,.6230881,-.7389906
57263,12.7,4.7,40.8,-5.151134,-.9604781
57264,10.3,8.5,42.1,-5.462672,-6.6912
57265,27.6,11.4,47.7,-1.629861,-8.686245
57266,9.3,5.1,42.6,-3.026229,-5.740429
57268,12,16.9,18,5.441958,-1.557689
57269,11.3,10.3,29.6,1.048703,.5081213
57270,10.2,6.1,34.6,-6.255084,-2.730857
57271,22.4,29.1,51.6,19.5557,26.33869
57272,5.4,2,27.6,-8.035188,-2.416171
57273,12.7,11.9,30.4,-.795014,-5.209232
57274,12.5,10.9,25.3,-1.477908,-4.516585
57276,14.3,16.1,24,5.999406,4.963953
57278,13,11.9,28.9,-1.388248,-3.640076
